Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C0805,117.2500,-73.5000,180.0,Top
C2,10uF,C0805,117.2500,-75.7500,0.0,Top
C5,C0402,C0402,68.7500,-39.7500,270.0,Top
C6,C0402,C0402,67.5000,-39.7500,270.0,Top
C7,C0402,C0402,126.1700,-43.6000,180.0,Top
C8,C0402,C0402,113.5000,-40.4500,180.0,Top
C9,1uF,C0402,112.2500,-37.2500,180.0,Top
C19,C0402,C0402,66.4000,-50.9000,60.0,Top
C20,C0402,C0402,67.2000,-66.6000,330.0,Top
C21,C0402,C0402,49.0000,-55.3000,90.0,Top
C22,C0402,C0402,111.8000,-57.2000,0.0,Top
C23,C0402,C0402,93.3000,-66.6000,240.0,Top
C24,C0402,C0402,73.6000,-67.1000,90.0,Top
C25,C0402,C0402,87.0000,-67.1000,90.0,Top
C26,C0402,C0402,104.6000,-49.3363,60.0,Top
C27,C0402,C0402,73.0000,-64.2500,0.0,Top
D1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,68.3000,-59.1650,90.0,Top
D2,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,67.0942,-63.6650,60.0,Top
D3,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,63.8000,-66.9592,30.0,Top
D4,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,59.3000,-68.1650,0.0,Top
D5,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,54.8000,-66.9592,330.0,Top
D6,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,51.5058,-63.6650,300.0,Top
D7,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,50.3000,-59.1650,270.0,Top
D8,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,51.5058,-54.6650,240.0,Top
D9,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,54.8000,-51.3708,210.0,Top
D10,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,59.3000,-50.1650,180.0,Top
D11,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,63.8000,-51.3708,150.0,Top
D12,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,67.0942,-54.6650,120.0,Top
D13,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,92.2000,-59.3350,270.0,Top
D14,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,93.4058,-54.8350,240.0,Top
D15,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,96.6000,-51.5000,210.0,Top
D16,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,101.2000,-50.3350,180.0,Top
D17,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,105.7000,-51.5408,150.0,Top
D18,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,108.9942,-54.8350,120.0,Top
D19,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,110.2000,-59.3350,90.0,Top
D20,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,108.9942,-63.8350,60.0,Top
